jp,en,tag,context,keywords,verified
出汁（だし）,Japanese fish and seaweed stock,Menu,和食のベース。魚が使われていることを明確にする際に。,"出汁,dashi,だし,Japanese stock,鰹出汁,昆布出汁,bonito dashi,kombu dashi,umami broth,awase dashi",False
鰹だし,Bonito (fish) stock,Menu,魚由来であることをベジタリアンに伝える際に。,"鰹だし, Bonito stock, Katsuobushi, Dashi, Japanese broth, かつおだし, Bonito flakes, 出汁, Instant dashi, Dashi powder",False
昆布だし,Kelp (seaweed) stock,Menu,ベジタリアン・ヴィーガン対応の際に。,"昆布だし,Kelp stock,Dashi,Seaweed stock,Kombu stock,出汁,Japanese broth,Vegan dashi,旨味,こんぶ出汁",False
植物性100%,100% plant-based,Menu,ヴィーガン対応メニューの表記に。,"植物性100%, 100% plant-based, プラントベース, vegan, ヴィーガン, 動物性不使用, animal-free, 菜食主義, 完全植物性, plant-only",False
肉不使用,Meat-free,Menu,お肉が入っていないことを示す際に。,"Meat-free,肉不使用,Vegetarian,ベジタリアン,Vegan,ヴィーガン,Plant-based,プラントベース,Meatless,肉なし",False
魚介不使用,Seafood-free,Menu,魚や貝が使われていないことを示す際に。,"Seafood-free, 魚介不使用, No seafood, シーフードフリー, Fish-free, 魚不使用, Shellfish-free, 貝不使用, Vegan seafood, ヴィーガンシーフード",False
乳製品不使用,Dairy-free,Menu,牛乳やバターを使っていないメニューに。,"Dairy-free,乳製品不使用,Vegan,ヴィーガン,Plant-based,プラントベース,Lactose-free,ラクトースフリー,Dairy alternative,代替乳製品",False
卵不使用,Egg-free,Menu,マヨネーズなども含め卵を使っていない場合に。,STOP_SCRIPT,False
五葷（にんにく・ねぎ等）不使用,No pungent vegetables (No garlic/onions),Menu,宗教や嗜好に合わせた表記に。,"五葷, ごくん, gokun, no garlic, no onion, no leeks, oriental vegan, 精進料理, にんにく不使用, ねぎ不使用",False
グルテンフリー,Gluten-free,Menu,小麦粉を一切使用していないメニューに。,"グルテンフリー, gluten-free, 小麦不使用, wheat-free, 米粉, rice flour, セリアック, celiac, 小麦粉なし",False
醤油（小麦含む）,Soy sauce (contains wheat),Menu,醤油に小麦が含まれることを注意喚起する際に。,"醤油（小麦含む）, Soy sauce (contains wheat), soy, sauce, contains, wheat, menu",False
炭火焼き,Charcoal-grilled,Menu,香ばしさをアピールする調理法の説明。,"炭火焼き, Charcoal-grilled, charcoal-grilled, menu",False
煮込み,Slow-cooked / Simmered,Menu,煮魚や煮物の美味しそうな表現。,"煮込み, Slow-cooked / Simmered, slow-cooked, simmered, menu",False
天ぷら（サクサク）,Crispy tempura,Menu,衣の食感を伝える際に。,"天ぷら（サクサク）, Crispy tempura, crispy, tempura, menu",False
素揚げ,Deep-fried without batter,Menu,野菜の素揚げなどの説明。,"素揚げ, Deep-fried without batter, deep-fried, without, batter, menu",False
和え物,Marinated side dish,Menu,小鉢料理の説明に。,"和え物, Marinated side dish, marinated, side, dish, menu",False
湯通し,Blanched,Menu,さっと火を通した料理の説明に。,"湯通し, Blanched, blanched, menu",False
鉄板焼き,Teppanyaki / Griddle grilled,Menu,ステーキや粉もんの説明に。,"鉄板焼き, Teppanyaki / Griddle grilled, teppanyaki, griddle, grilled, menu",False
