jp,en,tag,context,keywords,verified
貴重品は自己管理で,Keep valuables with you,Sign,盗難防止の注意喚起に。,"貴重品, valuables, self-managed, security, theft, watch your bags, wallet, きちょうひん, safety",False
土足厳禁,No outdoor shoes,Sign,和室やジムの入り口に。,"土足厳禁, no shoes, take off shoes, indoors, slipper, どそくげんきん, entrance, remove shoes",False
写真はご遠慮ください,"No photos, please",Sign,撮影禁止の場所に。,"撮影禁止, no photo, no photography, camera, flash, photography prohibited, さつえいきんし, copyright",False
準備中,Currently preparing / Closed,Sign,開店前のドアに。,"準備中, Currently preparing / Closed, currently, preparing, closed, sign",False
本日終了しました,Sold out for today,Sign,売り切れや閉店の案内に。,"本日終了しました, Sold out for today, sold, out, for, today, sign",False
足元にご注意ください,Watch your step,Sign,段差や濡れた床に。,"足元注意, watch your step, mind the gap, slippery, caution, floor, あしもと, warning, step",False
こちらでお待ちください,Please wait here,Sign,列の並び場所に。,"こちらでお待ちください, Please wait here, please, wait, here, sign",False
このボタンを押してください,Please press this button,Sign,券売機やドアの説明に。,"このボタンを押してください, Please press this button, please, press, this, button, sign",False
故障中,Out of order,Sign,機械が壊れている時に。,"故障中, Out of order, out, order, sign",False
清掃中,Cleaning in progress,Sign,トイレなどの清掃時に。,"清掃中, Cleaning in progress, cleaning, progress, sign",False
関係者以外立入禁止,Staff only / Authorized personnel only,Sign,バックヤードの入り口に。,"関係者以外立入禁止, Staff only / Authorized personnel only, staff, only, authorized, personnel, sign",False
頭上注意,Mind your head,Sign,天井が低い場所に。,"頭上注意, Mind your head, mind, your, head, sign",False
扉に手を触れないでください,Do not touch the door,Sign,自動ドアや電車のドアに。,"扉に手を触れないでください, Do not touch the door, not, touch, the, door, sign",False
静かにしてください,Please keep quiet,Sign,図書館や深夜の廊下に。,"静かにしてください, Please keep quiet, please, keep, quiet, sign",False
ゴミ箱はこちらです,Trash can is here,Sign,ゴミ捨て場の案内に。,"ゴミ箱はこちらです, Trash can is here, trash, can, here, sign",False
禁煙エリア,Non-smoking area,Sign,喫煙禁止の場所に。,"禁煙エリア, Non-smoking area, non-smoking, area, sign",False
火気厳禁,No open flames,Sign,危険物の近くに。,"火気厳禁, No open flames, open, flames, sign",False
土足で上がってください,Please keep your shoes on,Sign,逆に脱がなくて良い場所で。,"土足で上がってください, Please keep your shoes on, please, keep, your, shoes, sign",False
ペット入店不可,No pets allowed,Sign,飲食店の入り口に。,"ペット入店不可, No pets allowed, pets, allowed, sign",False
盲導犬可,Service dogs welcome,Sign,補助犬の入店許可に。,"盲導犬可, Service dogs welcome, service, dogs, welcome, sign",False
非常階段,Emergency stairs,Sign,避難経路の案内に。,"非常階段, Emergency stairs, emergency, stairs, sign",False
消火器,Fire extinguisher,Sign,防災設備の表示に。,"消火器, Fire extinguisher, fire, extinguisher, sign",False
撮影禁止,No photography,Sign,美術館や劇場で。,"撮影禁止, No photography, photography, sign",False
フラッシュ禁止,No flash photography,Sign,水族館などで。,"フラッシュ禁止, No flash photography, flash, photography, sign",False
録音禁止,No recording,Sign,ライブ会場などで。,"録音禁止, No recording, recording, sign",False
飲食禁止,No food or drink,Sign,ショールームや店舗で。,"飲食禁止, No food or drink, food, drink, sign",False
携帯電話はお控えください,Please refrain from using mobile phones,Sign,静かな場所でのマナーに。,"携帯電話はお控えください, Please refrain from using mobile phones, please, refrain, from, using, mobile, phones, sign",False
順番待ち,Waiting list,Sign,混雑時のシステム案内に。,"順番待ち, Waiting list, waiting, list, sign",False
割り込み禁止,Do not cut in line,Sign,行列での注意に。,"割り込み禁止, Do not cut in line, not, cut, line, sign",False
飲み終わった容器はこちらへ,Please return empty bottles here,Sign,返却口の案内に。,"飲み終わった容器はこちらへ, Please return empty bottles here, please, return, empty, bottles, here, sign",False
トイレットペーパーを流さないで,Do not flush toilet paper,Sign,古い配管の場所での注意に。,"トイレットペーパーを流さないで, Do not flush toilet paper, not, flush, toilet, paper, sign",False
トイレットペーパー以外流さないで,Do not flush anything but toilet paper,Sign,一般的なトイレのマナーに。,"トイレットペーパー以外流さないで, Do not flush anything but toilet paper, not, flush, anything, but, toilet, paper, sign",False
手を洗ってください,Please wash your hands,Sign,衛生管理の案内に。,"手を洗ってください, Please wash your hands, please, wash, your, hands, sign",False
消毒してください,Please sanitize your hands,Sign,入り口での消毒依頼に。,"消毒してください, Please sanitize your hands, please, sanitize, your, hands, sign",False
検温にご協力ください,Please check your temperature,Sign,体温測定の依頼に。,"検温にご協力ください, Please check your temperature, please, check, your, temperature, sign",False
マスク着用,Masks required,Sign,感染対策のルールに。,"マスク着用, Masks required, masks, required, sign",False
距離を保ってください,Please keep your distance,Sign,ソーシャルディスタンスの案内に。,"距離を保ってください, Please keep your distance, please, keep, your, distance, sign",False
お出口はあちらです,The exit is over there,Sign,帰りの客への案内に。,"お出口はあちらです, The exit is over there, the, exit, over, there, sign",False
入口はこちら,Entrance this way,Sign,入り口案内に。,"入口はこちら, Entrance this way, entrance, this, way, sign",False
営業時間: 10:00 - 20:00,Business hours: 10:00 - 20:00,Sign,営業時間の表示に。,"営業時間: 10:00 - 20:00, Business hours: 10:00 - 20:00, business, hours:, 10:00, 20:00, sign",False
ペット同伴はご遠慮ください,Please do not bring pets,Sign,ペット不可の場所に。,"ペット同伴はご遠慮ください, Please do not bring pets, please, not, bring, pets, sign",False
ベビーカーは折りたたんでください,Please fold strollers,Sign,狭い通路での注意に。,"ベビーカーは折りたたんでください, Please fold strollers, please, fold, strollers, sign",False
車椅子優先席,Wheelchair priority seating,Sign,優先席の表示に。,"車椅子優先席, Wheelchair priority seating, wheelchair, priority, seating, sign",False
スタッフにお声掛けください,Please ask staff for assistance,Sign,案内を必要とする場合に。,"スタッフにお声掛けください, Please ask staff for assistance, please, ask, staff, for, assistance, sign",False
飲食は店内指定場所で,Please eat only in designated areas,Sign,指定エリアでの飲食を促す案内に。,"飲食は店内指定場所で, Please eat only in designated areas, please, eat, only, designated, areas, sign",False
自転車はここに止めないでください,No bicycle parking here,Sign,駐輪禁止エリアに。,"自転車はここに止めないでください, No bicycle parking here, bicycle, parking, here, sign",False
入場料あり,Admission fee,Sign,有料施設の入り口表示に。,"入場料あり, Admission fee, admission, fee, sign",False
喫煙所はこちら,Smoking area here,Sign,指定喫煙所の案内に。,"喫煙所はこちら, Smoking area here, smoking, area, here, sign",False
危険物持ち込み禁止,No dangerous items,Sign,持ち込み禁止物の注意に。,"危険物持ち込み禁止, No dangerous items, dangerous, items, sign",False
エレベーター点検中,Elevator under maintenance,Sign,エレベーター停止時の案内に。,"エレベーター点検中, Elevator under maintenance, elevator, under, maintenance, sign",False
点検日は掲示をご確認ください,Check posted schedule for maintenance dates,Sign,定期点検の案内に。,"点検日は掲示をご確認ください, Check posted schedule for maintenance dates, check, posted, schedule, for, maintenance, dates, sign",False
床が濡れています,Floor is wet,Sign,清掃や雨天時の注意喚起に。,"床が濡れています, Floor is wet, floor, wet, sign",False
ここは写真撮影OK,Photography allowed,Sign,撮影可の場所に。,"ここは写真撮影OK, Photography allowed, photography, allowed, sign",False
靴を脱いでください,Please take off your shoes,Sign,和室などでの案内に。,"靴を脱いでください, Please take off your shoes, please, take, off, your, shoes, sign",False
手荷物はここへ,Place carry-on items here,Sign,荷物置き場の案内に。,"手荷物はここへ, Place carry-on items here, place, carry-on, items, here, sign",False
営業時間変更のお知らせ,Notice of business hour changes,Sign,臨時営業時間の掲示に。,"営業時間, business hours, notice, open, close, えいぎょうじかん, change, schedule",False
整理券をお取りください,Please take a numbered ticket,Sign,行列管理の案内に。,"整理券, ticket, number ticket, waiting list, queue, せいりけん, ticket machine",False
こちらは出口専用です,Exit only,Sign,一方通行の出口に。,"こちらは出口専用です, Exit only, exit, only, sign",False
撮影禁止（フラッシュ不可）,No photography (Flash strictly prohibited),Sign,寺院内などでよく使われます。,"撮影禁止（フラッシュ不可）, No photography (Flash strictly prohibited), photography, flash, strictly, prohibited, sign",False
三脚・一脚の使用禁止,No tripods or monopods,Sign,混雑する場所での撮影制限。,"三脚・一脚の使用禁止, No tripods or monopods, tripods, monopods, sign",False
整理券を配布しています,Numbered tickets are being distributed,Sign,入場制限や行列整理のために。,"整理券を配布しています, Numbered tickets are being distributed, numbered, tickets, are, being, distributed, sign",False
最後尾はこちらです,The end of the line is here,Sign,行列の案内に。,"最後尾はこちらです, The end of the line is here, the, end, line, here, sign",False
ドローン飛行禁止,No drones,Sign,公園や神社仏閣での注意。,"ドローン飛行禁止, No drones, drones, sign",False
歩きスマホはやめましょう,Please don't use your phone while walking,Sign,安全啓蒙の案内に。,"歩きスマホはやめましょう, Please don't use your phone while walking, please, don't, use, your, phone, while, walking, sign",False
